timestep,episodic_return
999,14.42487685912285
2000,0.0
3001,0.0
4002,0.0
5003,0.0
6004,0.0
7005,0.0
8006,0.0
9007,0.0
10008,0.0
11009,10.336812250625638
12010,0.0
13011,0.0
14012,0.0
15013,0.0
16014,0.0
17015,0.0
18016,0.0
19017,0.0
20018,0.0
21019,0.0
22020,22.164152526410774
23021,26.134268399514145
24022,8.364350488741279
25023,0.0
26024,12.041504286316902
27025,0.0
28026,14.373752430329251
29027,0.0
30028,0.0
31029,0.0
32030,0.0
33031,0.0
34032,0.0
35033,0.0
36034,0.0
37035,0.0
38036,8.346279952146888
39037,0.0
40038,0.0
41039,0.0
42040,0.0
43041,0.0
44042,0.0
45043,14.41454813266669
46044,0.0
47045,0.0
48046,0.0
49047,0.0
50048,0.0
51049,21.5676709172809
52050,0.0
53051,0.0
54052,0.0
55053,0.0
56054,0.0
57055,0.0
58056,0.0
59057,0.0
60058,0.0
61059,0.0
62060,0.0
63061,0.0
64062,0.0
65063,0.0
66064,21.11733698061255
67065,0.0
68066,0.0
69067,0.0
70068,0.0
71069,14.63821875680357
72070,0.0
73071,0.0
74072,16.0554427166577
75073,0.0
76074,0.0
77075,0.0
78076,0.0
79077,0.0
80078,0.0
81079,0.0
82080,0.0
83081,0.0
84082,0.0
85083,0.874226474113532
86084,10.033749043374016
87085,0.0
88086,0.0
89087,15.65736344289179
90088,19.898330750133137
91089,0.0
92090,0.0
93091,0.0
94092,0.0
95093,14.022839061356313
96094,0.0
97095,0.0
98096,0.0
99097,0.0
100098,0.0
101099,0.0
102100,0.0
103101,0.0
104102,0.0
105103,0.0
106104,13.399703350561609
107105,0.0
108106,0.0
109107,0.0
110108,0.0
111109,36.90044668168794
112110,0.0
113111,0.0
114112,0.0
115113,48.50810420731921
116114,0.0
117115,0.0
118116,0.0
119117,23.39082769934171
120118,69.14548739331796
121119,0.0
122120,0.0
123121,37.83716310749582
124122,0.0
125123,10.416514822883585
126124,0.0
127125,0.0
128126,6.558208136662738
129127,0.0
130128,0.0
131129,0.0
132130,0.0
133131,0.0
134132,0.0
135133,0.0
136134,22.25953468468534
137135,0.0
138136,13.845529559358702
139137,8.635226379110113
140138,0.0
141139,0.0
142140,0.0
143141,0.0
144142,0.0
145143,238.70674507026052
146144,0.0
