timestep,episodic_return
999,0.0
2000,0.0
3001,0.0
4002,0.0
5003,0.0
6004,9.412717999776355
7005,0.0
8006,0.0
9007,0.0
10008,0.0
11009,0.0
12010,0.0
13011,0.0
14012,0.0
15013,0.0
16014,13.869704622186116
17015,0.9317720061583825
18016,0.0
19017,0.0
20018,0.0
21019,0.0
22020,0.0
23021,16.82158056349253
24022,0.0
25023,0.0
26024,0.0
27025,0.0
28026,0.0
29027,0.0
30028,0.0
31029,0.0
32030,4.89481806749187
33031,0.0
34032,0.0
35033,0.0
36034,0.0
37035,0.0
38036,0.0
39037,0.0
40038,0.0
41039,0.0
42040,0.0
43041,0.0
44042,13.33315646164803
45043,0.0
46044,15.269827226023036
47045,12.182472897421498
48046,14.191022186102982
49047,0.0
50048,0.0
51049,15.04639256590566
52050,0.0
53051,0.0
54052,0.0
55053,0.0
56054,0.0
57055,0.0
58056,10.473934846899862
59057,0.0
60058,0.0
61059,9.310420000443438
62060,0.0
63061,0.0
64062,0.0
65063,0.0
66064,0.0
67065,7.779781101162907
68066,0.0
69067,1.911363690266545
70068,0.0
71069,0.0
72070,0.0
73071,0.0
74072,0.0
75073,0.0
76074,7.648868673743637
77075,0.0
78076,0.0
79077,4.900271352522783
80078,0.0
81079,0.0
82080,0.0
83081,0.0
84082,0.0
85083,0.0
86084,0.0
87085,0.0
88086,0.0
89087,0.0
90088,0.0
91089,0.0
92090,0.0
93091,0.0
94092,0.0
95093,0.0
96094,0.0
97095,0.0
98096,0.0
99097,0.0
100098,0.0
101099,6.923501365101999
102100,0.0
103101,0.0
104102,14.56997572494624
105103,0.0
106104,9.663004464573307
107105,0.0
108106,13.525455714220403
109107,0.0
110108,0.0
111109,0.0
112110,0.0
113111,0.0
114112,0.0
115113,0.0
116114,0.0
117115,0.0
118116,0.0
119117,0.0
120118,14.207304171190875
121119,0.0
122120,0.0
123121,0.0
124122,0.9267736726558506
125123,0.0
126124,0.0
127125,0.0
128126,0.0
129127,0.0
130128,0.0
131129,0.0
132130,0.0
